NodeID	MNI_x	MNI_y	MNI_z	Desikan-Killiany_aparc_label	Chan_system_type	Power_system_label	Power_label	Power_red	Power_green	Power_blue	Vertex	Hemisphere	Chan_JON2017
120	-23.848	34.044	-11.892	Lateral_orbitofrontal_cortex	Association	Fronto-parietal control	6	0.961	0.961	0.059	20465	L	1
121	-26.062	61.945	-10.862	Rostral_middle_frontal_gyrus	N/A	Frontal_pole	13	0.631	0.631	0.631	20534	L	0
122	-21.745	20.875	-19.684	Lateral_orbitofrontal_cortex	N/A	Orbitofrontal	11	0.373	0.373	0.373	20600	L	0
123	-18.811	29.038	-22.204	Lateral_orbitofrontal_cortex	N/A	Orbitofrontal	11	0.373	0.373	0.373	20714	L	0
124	-20.656	9.7464	-20.449	Medial_wall	N/A	Orbitofrontal	11	0.373	0.373	0.373	20724	L	0
125	-18.414	53.414	-15.197	Medial_orbitofrontal_cortex	N/A	Frontal_pole	13	0.631	0.631	0.631	20738	L	0
126	-18.329	42.157	-18.739	Lateral_orbitofrontal_cortex	N/A	Orbitofrontal	11	0.373	0.373	0.373	20745	L	0
127	-11.952	34.164	-26.828	Medial_orbitofrontal_cortex	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	20855	L	0
128	-11.825	33.706	-19.328	Medial_orbitofrontal_cortex	N/A	Orbitofrontal	11	0.373	0.373	0.373	21042	L	0
129	-8.0523	44.165	-21.146	Medial_orbitofrontal_cortex	N/A	Orbitofrontal	11	0.373	0.373	0.373	21064	L	0
130	-12.696	20.761	-15.286	Medial_orbitofrontal_cortex	N/A	Orbitofrontal	11	0.373	0.373	0.373	21076	L	0
131	-2.4971	37.538	-26.293	Medial_orbitofrontal_cortex	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	21230	L	0
132	-4.9572	16.482	-23.153	Medial_wall	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	21277	L	0
133	-3.7608	16.24	-14.193	Medial_wall	Association	Default	3	1	0	0	21376	L	0
134	-62.123	-31.298	-14.74	Middle_temporal_gyrus	Association	Default	3	1	0	0	21443	L	0
135	-58.27	-16.55	-21.572	Superior_temporal_gyrus	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	21632	L	0
136	-26.343	12.424	-33.107	Insular_cortex	N/A	Lateral_temporal_pole	17	0.863	0.863	0.863	21815	L	0
137	-45.19	-0.69186	-39.801	Middle_temporal_gyrus	N/A	Lateral_temporal_pole	17	0.863	0.863	0.863	21931	L	0
138	-51.649	-9.0284	-33.609	Middle_temporal_gyrus	N/A	Inferior_temporal_pole	10	0.675	0.675	0.675	21936	L	0
139	-56.73	-29.437	-21.785	Middle_temporal_gyrus	N/A	Ventral_frontral_temporal	2	0.502	0.502	0.502	21996	L	0
140	-55.345	-51.398	-18.974	Middle_temporal_gyrus	Association	Fronto-parietal control	6	0.961	0.961	0.059	22146	L	0
141	-33.707	-3.0712	-45.815	Temporal_pole	N/A	Inferior_temporal_pole	10	0.675	0.675	0.675	22202	L	0
142	-26.14	2.2555	-40.109	Entorhinal_cortex	N/A	Inferior_temporal_pole	10	0.675	0.675	0.675	22238	L	0
